village_name,total_population,farmers_count,seniors_count,children_count,females_count,males_count,working_age_count,farmer_to_total_ratio,farmer_to_working_age_ratio,senior_ratio,youth_ratio,women_ratio,men_ratio,village_id,dss_segment
Geesugonda,1987,822,232,540,1009,978,1215,0.4137,0.6765,0.1168,0.2718,0.5078,0.4922,geesugonda,Women-Centric Outreach
Rayaparthy,2414,1276,234,612,1189,1225,1568,0.5286,0.8138,0.0969,0.2535,0.4925,0.5075,rayaparthy,Agriculture Priority
Wardhannapet,4492,2269,401,1266,2190,2302,2825,0.5051,0.8032,0.0893,0.2818,0.4875,0.5125,wardhannapet,Agriculture Priority
Hasanparthy,1510,313,380,430,736,774,980,0.2073,0.3194,0.2517,0.2848,0.4874,0.5126,hasanparthy,Senior Care General
Choppadandi,3120,614,210,1110,1540,1580,2100,0.1968,0.2924,0.0673,0.3558,0.4936,0.5064,choppadandi,Balanced Development
Manakondur,2890,1410,190,420,1460,1430,1950,0.4879,0.7231,0.0657,0.1453,0.5052,0.4948,manakondur,Agriculture Priority
Veenavanka,2150,1120,410,320,1020,1130,1210,0.5209,0.9256,0.1907,0.1488,0.4744,0.5256,veenavanka,Agriculture Priority
Timmapur,3420,710,680,820,1720,1700,2100,0.2076,0.3381,0.1988,0.2398,0.5029,0.4971,timmapur,Senior Care General
Armoor,4200,810,790,1310,2110,2090,2600,0.1929,0.3115,0.1881,0.3119,0.5024,0.4976,armoor,Senior Care General
Wyra,3850,2110,210,640,1920,1930,2400,0.5481,0.8792,0.0545,0.1662,0.4987,0.5013,wyra,Agriculture Priority
Balkonda,2950,1500,150,600,1490,1460,2200,0.5085,0.6818,0.0508,0.2034,0.5051,0.4949,balkonda,Agriculture Priority
Bela,1840,410,320,510,910,930,1010,0.2228,0.4059,0.1739,0.2772,0.4946,0.5054,bela,Senior Care General
Bodhan,5100,1100,900,1200,2510,2590,3000,0.2157,0.3667,0.1765,0.2353,0.4922,0.5078,bodhan,Senior Care General
Cherial,2300,950,180,520,1120,1180,1600,0.413,0.5938,0.0783,0.2261,0.487,0.513,cherial,Balanced Development
Chintakani,3376,1724,390,839,1613,1763,2147,0.5107,0.803,0.1155,0.2485,0.4778,0.5222,chintakani,Agriculture Priority
Devarakonda,4100,2300,200,900,2010,2090,3000,0.561,0.7667,0.0488,0.2195,0.4902,0.5098,devarakonda,Agriculture Priority
Devarkadra,2650,1400,150,600,1310,1340,1900,0.5283,0.7368,0.0566,0.2264,0.4943,0.5057,devarkadra,Agriculture Priority
Dichpally,3800,600,650,900,1920,1880,2250,0.1579,0.2667,0.1711,0.2368,0.5053,0.4947,dichpally,Women-Centric Outreach
Dubbak,3200,1300,400,800,1580,1620,2000,0.4062,0.65,0.125,0.25,0.4938,0.5062,dubbak,Balanced Development
Gajwel,4900,1100,300,1800,2410,2490,2800,0.2245,0.3929,0.0612,0.3673,0.4918,0.5082,gajwel,Balanced Development
Husnabad,3734,1494,314,1119,1836,1898,2301,0.4001,0.6493,0.0841,0.2997,0.4917,0.5083,husnabad,Balanced Development
Ichoda,3784,1826,234,920,1847,1937,2630,0.4826,0.6943,0.0618,0.2431,0.4881,0.5119,ichoda,Agriculture Priority
Jadcherla,4600,2100,300,1100,2250,2350,3200,0.4565,0.6562,0.0652,0.2391,0.4891,0.5109,jadcherla,Balanced Development
Jainath,2100,980,220,450,1020,1080,1430,0.4667,0.6853,0.1048,0.2143,0.4857,0.5143,jainath,Balanced Development
Kanagal,2900,800,450,750,1430,1470,1700,0.2759,0.4706,0.1552,0.2586,0.4931,0.5069,kanagal,Senior Care General
Madhira,2705,1396,163,627,1366,1339,1915,0.5161,0.729,0.0603,0.2318,0.505,0.495,madhira,Agriculture Priority
Nelakondapalli,4149,1868,368,1206,2021,2128,2575,0.4502,0.7254,0.0887,0.2907,0.4871,0.5129,nelakondapalli,Balanced Development
Nidamanoor,3100,1200,400,750,1520,1580,1950,0.3871,0.6154,0.129,0.2419,0.4903,0.5097,nidamanoor,Balanced Development
Nakrekal,3500,1900,250,650,1710,1790,2600,0.5429,0.7308,0.0714,0.1857,0.4886,0.5114,nakrekal,Agriculture Priority
Utnoor,1902,832,234,408,1126,776,1260,0.4374,0.6603,0.123,0.2145,0.592,0.408,utnoor,Women-Centric Outreach
